Date,Mode,Value
1/01/2018,Metropolitan train,16809932
1/02/2018,Metropolitan train,19554477
1/03/2018,Metropolitan train,22659010
1/04/2018,Metropolitan train,20312040
1/05/2018,Metropolitan train,22768447
1/06/2018,Metropolitan train,19284755
1/07/2018,Metropolitan train,20732099
1/08/2018,Metropolitan train,22566766
1/09/2018,Metropolitan train,20056487
1/10/2018,Metropolitan train,22299761
1/11/2018,Metropolitan train,20806123
1/12/2018,Metropolitan train,16665365
1/01/2019,Metropolitan train,17074623
1/02/2019,Metropolitan train,20011823
1/03/2019,Metropolitan train,22250796
1/04/2019,Metropolitan train,18579825
1/05/2019,Metropolitan train,23045436
1/06/2019,Metropolitan train,19099513
1/07/2019,Metropolitan train,20771347
1/08/2019,Metropolitan train,22618021
1/09/2019,Metropolitan train,20593343
1/10/2019,Metropolitan train,22429337
1/11/2019,Metropolitan train,20413342
1/12/2019,Metropolitan train,17890229
1/01/2020,Metropolitan train,17015987
1/02/2020,Metropolitan train,19811543
1/03/2020,Metropolitan train,13746958
1/04/2020,Metropolitan train,2165747
1/05/2020,Metropolitan train,3670296
1/06/2020,Metropolitan train,6432121
1/07/2020,Metropolitan train,3963903
1/08/2020,Metropolitan train,1887499
1/09/2020,Metropolitan train,1931257
1/10/2020,Metropolitan train,3388960
1/11/2020,Metropolitan train,6439402
1/12/2020,Metropolitan train,7868276
1/01/2021,Metropolitan train,7231312
1/02/2021,Metropolitan train,7822660
1/03/2021,Metropolitan train,11852314
1/04/2021,Metropolitan train,11632636
1/05/2021,Metropolitan train,11375712
1/06/2021,Metropolitan train,6321515
1/07/2021,Metropolitan train,7512489
1/08/2021,Metropolitan train,3954587
1/09/2021,Metropolitan train,2769485
1/10/2021,Metropolitan train,3995863
1/11/2021,Metropolitan train,8341146
1/12/2021,Metropolitan train,9127862
1/01/2022,Metropolitan train,5778986
1/02/2022,Metropolitan train,8382008
1/03/2022,Metropolitan train,13045722
1/04/2022,Metropolitan train,11890697
1/05/2022,Metropolitan train,12833409
1/06/2022,Metropolitan train,11842624
1/07/2022,Metropolitan train,12019600
1/08/2022,Metropolitan train,13095346
1/09/2022,Metropolitan train,12936260
1/10/2022,Metropolitan train,12909284
1/11/2022,Metropolitan train,13072188
1/12/2022,Metropolitan train,11867965
1/01/2023,Metropolitan train,10109375
1/02/2023,Metropolitan train,12831622
1/03/2023,Metropolitan train,16527142
1/04/2023,Metropolitan train,13288137
1/05/2023,Metropolitan train,15312507
1/06/2023,Metropolitan train,13115087
1/07/2023,Metropolitan train,14020167
1/08/2023,Metropolitan train,16437412
1/09/2023,Metropolitan train,14847177
1/10/2023,Metropolitan train,15199277
1/11/2023,Metropolitan train,14653512
1/12/2023,Metropolitan train,13516661
1/01/2024,Metropolitan train,13254775
1/02/2024,Metropolitan train,15828610
1/03/2024,Metropolitan train,17171572
1/04/2024,Metropolitan train,15943432
1/05/2024,Metropolitan train,17201139
1/06/2024,Metropolitan train,14454677
1/07/2024,Metropolitan train,15901814
1/08/2024,Metropolitan train,17273609
1/09/2024,Metropolitan train,15323401
1/10/2024,Metropolitan train,16934209
